baseMean	log2FoldChange	lfcSE	pvalue	padj
FRAEX38873_v2_000262880.1	114.49436243011	-1.44415494485929	0.595367428407415	0.0003947316110064	0.146914095171795
FRAEX38873_v2_000007210.1	475.904068395724	-0.451505247155389	0.183894363006141	0.000398727252142847	0.146914095171795
FRAEX38873_v2_000154150.1	10.4711882373353	-1.36162450612302	0.577484176409732	0.000506723310207214	0.158851261297267
FRAEX38873_v2_000258090.1	32.9959269733136	-0.725126768857156	0.307231248441692	0.000492962692327791	0.158851261297267
FRAEX38873_v2_000210650.1	13.3777508875917	2.20284894167498	0.940831360132955	0.000506293433538703	0.158851261297267
FRAEX38873_v2_000167160.1	48.694347919227	0.666660011960532	0.279232805413255	0.000481266987767433	0.158851261297267
FRAEX38873_v2_000354030.2	29.4459251630096	1.11177259907011	0.469064613570633	0.000496617692974705	0.158851261297267
FRAEX38873_v2_000319310.1	74.5029618976826	0.600089179612111	0.253303836509618	0.000490488323378153	0.158851261297267
FRAEX38873_v2_000182830.1	18.8917707941603	2.38725128548571	1.04612121927574	0.000528095017044119	0.163455434895732
FRAEX38873_v2_000340430.1	19.0701633020811	1.93940851950307	0.839659868890488	0.000554199450894005	0.167299814484694
FRAEX38873_v2_000090160.2	72.0192496106802	1.23023577310627	0.534011742455507	0.000552112065498944	0.167299814484694
FRAEX38873_v2_000096740.1	25.5603264831044	0.692771895273656	0.298312140463684	0.000564552084116719	0.168346677571
FRAEX38873_v2_000319170.1	56.3860088495169	2.02810608975412	0.903939944316091	0.000582785298254504	0.1716899531677
FRAEX38873_v2_000113440.1	51.7659348198419	-1.34915385053515e-05	0.00144270542376551	0.000606625186853575	0.174508224340513
FRAEX38873_v2_000150530.1	9.39487746602105	1.27104244752472e-06	0.00144269524614614	0.000601524248984115	0.174508224340513
FRAEX38873_v2_000218340.1	62.7085077607543	0.691581494396517	0.303614669384814	0.000614653041072893	0.17476158325947
FRAEX38873_v2_000039500.1	50.0472293104652	-1.22751939295257e-05	0.00144270369710251	0.000624628328444635	0.175556458472738
FRAEX38873_v2_000163910.1	30.4768073609204	0.855962591787559	0.376778983483866	0.000641423926033548	0.178228384538322
FRAEX38873_v2_000152880.1	5.9838433944193	1.09030791282722	0.466664446589606	0.000691683600300148	0.190034240388081
FRAEX38873_v2_000025590.1	4.90351308969666	1.42593074549908	0.61117992958324	0.000710818196800726	0.193121406090793
FRAEX38873_v2_000120090.2	27.0931878995011	0.603269365050142	0.272653190547341	0.000732058653697494	0.194568458697947
FRAEX38873_v2_000329790.1	17.2417351903002	1.03357630088355	0.467162487649074	0.000725991920659591	0.194568458697947
FRAEX38873_v2_000353090.1	9.0856426463975	1.0610181283235	0.48339072936118	0.000815093639955893	0.197333363209916
FRAEX38873_v2_000381520.1	10.6452145526295	1.02826650077972	0.463769015708076	0.000786387400112368	0.197333363209916
FRAEX38873_v2_000008450.2	10.1934756112161	1.02618380145204	0.463584816286572	0.000793305615425311	0.197333363209916
FRAEX38873_v2_000158580.1	11.6954418162546	1.19007496871834	0.545196350841132	0.000805397136580664	0.197333363209916
FRAEX38873_v2_000250320.2	63.8424980751241	-0.403073067339927	0.186673358863748	0.000788211450206577	0.197333363209916
FRAEX38873_v2_000007920.1	48.5807918034517	-9.88086377193599e-06	0.00144270026103997	0.000782932006953248	0.197333363209916
FRAEX38873_v2_000065780.1	111.439548790961	-2.13852979887315e-05	0.0014427181501222	0.00081249245668001	0.197333363209916
FRAEX38873_v2_000274380.1	182.940291161454	-2.31218594895005e-05	0.00144272266740781	0.00076019695770017	0.197333363209916
FRAEX38873_v2_000162170.1	175.381089045633	-0.403332671328029	0.185870668173024	0.000768976180572948	0.197333363209916
FRAEX38873_v2_000224310.1	18.3553977278715	-1.50010577804533	0.71640707350911	0.000831111637217734	0.199238644639687
FRAEX38873_v2_000166320.1	11.0189095384651	0.864944235378428	0.399476314705218	0.000866420419609369	0.200925569804001
FRAEX38873_v2_000102690.1	10.7826544226056	1.5347301358717	0.722473868431937	0.000871017111043027	0.200925569804001
FRAEX38873_v2_000113720.1	18.378828800213	1.36034392655214	0.645585682823257	0.000849936790255633	0.200925569804001
FRAEX38873_v2_000267830.1	54.0337968840952	-1.23380641912174e-05	0.00144270271967895	0.00086882106758715	0.200925569804001
FRAEX38873_v2_000252540.1	59.7266169801496	-2.09748968639758e-05	0.00144272146910712	0.000904014741339106	0.206588490235737
FRAEX38873_v2_000213720.1	30.710028402087	-4.59158748657109e-06	0.00144269656192926	0.000935203321795656	0.209794418573829
FRAEX38873_v2_000232990.1	387.959743042843	-0.188581258886251	0.0905190290471573	0.000931093066510332	0.209794418573829
FRAEX38873_v2_000202290.1	6.78313314023561	0.945962509819542	0.438260793995116	0.000976812405436474	0.211293255254888
FRAEX38873_v2_000001710.1	5.80586888377947	1.17320461183178	0.562524799121447	0.00109613865908736	0.211293255254888
FRAEX38873_v2_000244350.1	8.5577203543104	0.874690178204621	0.412049973880102	0.000996920108893248	0.211293255254888
FRAEX38873_v2_000149470.1	22.7016041434714	0.624701774464675	0.30708962112088	0.00106372974883733	0.211293255254888
FRAEX38873_v2_000297730.1	23.8285252261952	-0.600259624915282	0.29807150312182	0.00109323598624056	0.211293255254888
FRAEX38873_v2_000025660.1	26.3799139636414	0.532357685268886	0.261674640262301	0.00106319224527943	0.211293255254888
FRAEX38873_v2_000396560.1	42.1993893616209	0.388074956054529	0.188404391738559	0.00100264306789741	0.211293255254888
